Comment,Designator,Footprint,LCSC
Conn_02x03_Odd_Even,"J1,J2,J3,J4,J5,J6",Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical_SMD,C5160759
SW_DIP_x03,SW1,CPS3:SW-SMD_6P-L8.6-W6.2-P2.54-LS9.8,C319040
